Time (milliseconds),ax,ay,az,light,mx,my,mz,sound,temp
42272,-324,592,-584,24,-12.75,-116.7,-87.6,48,29
42306,-408,812,-692,31,-18,-122.85,-87.75,41,29
42456,-140,716,-728,34,-25.2,-130.05,-85.5,15,29
42618,-328,768,-704,32,-23.25,-130.2,-82.8,22,29
42670,-408,688,-668,30,-22.35,-129.15,-81.6,37,29
42825,-336,636,-748,26,-21.6,-129.75,-78.15,22,29
42902,-284,732,-752,27,-23.7,-130.5,-77.1,33,29
43055,-252,716,-688,36,-25.95,-130.8,-76.95,18,29
43311,-216,652,-784,37,-27.9,-130.65,-75.45,22,29
43346,-312,612,-720,38,-25.2,-129.9,-74.85,30,29
43494,-284,644,-780,39,-26.7,-130.05,-74.7,3,29
43654,-200,608,-768,42,-28.2,-130.65,-74.1,3,29
43686,-212,612,-820,47,-29.1,-130.2,-72.6,18,29
43839,-220,620,-824,46,-28.65,-130.2,-73.05,26,29
44000,-208,604,-768,51,-29.85,-130.5,-73.95,30,29
44034,-176,624,-780,52,-31.5,-130.35,-73.2,33,29
44184,-168,624,-844,52,-32.4,-130.65,-72.75,37,29
44346,-136,612,-780,54,-32.4,-131.25,-73.2,22,29
44378,-192,596,-800,63,-32.4,-130.8,-72.45,41,29
44530,-200,600,-808,57,-32.85,-129.9,-73.05,22,29
44578,-120,656,-668,56,-33,-127.65,-62.25,37,29
44737,-88,616,-880,58,-34.5,-126.6,-60.75,26,29
44778,-108,588,-828,60,-34.5,-127.05,-62.1,26,29
44947,-132,568,-808,62,-34.35,-127.05,-62.7,37,29
45030,-164,604,-812,63,-34.05,-127.05,-62.1,26,29
45198,-140,592,-828,61,-33.3,-126.75,-61.65,41,29
45290,-140,584,-808,62,-33.15,-126.9,-62.4,33,29
45452,-160,592,-832,60,-33.45,-126.9,-61.2,26,29
45613,-156,572,-812,61,-33.15,-126.15,-61.5,45,29
45646,-136,592,-820,70,-32.85,-126.15,-60.9,45,29
45797,-124,568,-840,77,-33.6,-126.9,-61.35,30,29
45862,-160,568,-836,82,-32.55,-125.25,-56.55,22,29
46028,-152,588,-844,83,-33.9,-124.2,-55.8,22,29
